id,input_text,perceived_mood,indicators,suggested_reply,suggested_actions,confidence_score
1208,Feeling pumped to finish my project tonight,motivated,goal;drive,"उत्साह बढ़िया है, बढ़िया काम करो!",Channel energy into tasks efficiently.,0.74
1209,My heart is racing thinking about the exam,anxious,heart racing;anxious,"परेशानी समझ में आती है, मैं सुन सकती हूँ।",Practice deep breathing or mindfulness exercises.,0.88
1210,"Just finished my homework, pretty regular day",neutral,normal;ordinary,"ठीक है, दिन सामान्य रहा।",Reflect on small achievements.,0.87
1211,"आज का दिन सामान्य था, कुछ खास नहीं हुआ",neutral,routine;ordinary,Got it — sounds like a steady day.,Maintain routines; maybe add a small fun activity.,0.77
1212,Feeling so lonely even when surrounded by people,depressed,बेकार;tired,"मैं सुन रही हूँ, यह कठिन समय है।",Reach out to a trusted friend or counselor.,0.89
1213,बहुत सारा काम है और मैं संभाल नहीं पा रहा हूँ,stressed,overload;pressure,That sounds overwhelming — let's break it down into smaller steps.,List top 3 priorities; take a 5-min mindful break; hydrate.,0.77
1214,I'm tired all the time and don't want to do anything,depressed,lonely;hopeless,Consider reaching out to someone you trust or a small enjoyable activity.,Reach out to a trusted friend or counselor.,0.93
1215,"Deadlines are piling up, I feel like I’ll collapse",stressed,pressure;tasks,"मैं सुन रही हूँ, यह बहुत भारी लग रहा है।",List top 3 priorities; take a 5-min mindful break; hydrate.,0.96
1216,"Just finished my homework, pretty regular day",neutral,nothing special;routine,"ठीक है, दिन सामान्य रहा।",Reflect on small achievements.,0.94
1217,I can't stop worrying about the interview tomorrow,anxious,परेशान;anxious,It’s okay to feel anxious — want to talk about it?,Talk to a friend or mentor to reduce anxiety.,0.89
1218,Everything is going well in life,happy,amazing;खुशी,That’s wonderful — I’m glad you enjoyed!,Celebrate the positive moments; share gratitude.,0.87
1219,Everything feels meaningless and dark,depressed,tired;बेकार,Consider reaching out to someone you trust or a small enjoyable activity.,Journal feelings to reflect and lighten mental load.,0.77
1220,"आज का दिन सामान्य था, कुछ खास नहीं हुआ",neutral,ordinary;routine,Got it — sounds like a steady day.,Maintain routines; maybe add a small fun activity.,0.98
1221,"Attending usual lectures, nothing new",neutral,normal;usual,Got it — sounds like a steady day.,Stay balanced; hydrate and rest.,0.85
1222,Feeling pumped to finish my project tonight,motivated,enthusiastic;goal,"उत्साह बढ़िया है, बढ़िया काम करो!",Channel energy into tasks efficiently.,0.9
1223,I don't see the point in anything anymore,depressed,dark;बेकार,Consider reaching out to someone you trust or a small enjoyable activity.,Reach out to a trusted friend or counselor.,0.94
1224,I feel overwhelmed with all the tasks,stressed,deadlines;संभाल,"Take a deep breath, you can handle one task at a time.",Seek support if overwhelmed; focus on one step at a time.,0.77
1225,Enjoyed a wonderful day outdoors,happy,amazing;enjoyed,Capture gratitude in a quick note; enjoy the moment.,Celebrate the positive moments; share gratitude.,0.86
1226,परेशान हूँ कि मैं सही से कर पाऊँगा या नहीं,anxious,heart racing;worried,"परेशानी समझ में आती है, मैं सुन सकती हूँ।",Write down worries to release them from mind.,0.79
1227,My heart is racing thinking about the exam,anxious,nervous;anxious,"परेशानी समझ में आती है, मैं सुन सकती हूँ।",Talk to a friend or mentor to reduce anxiety.,0.79
1228,Ready to tackle all my assignments,motivated,energy;enthusiastic,Love the energy — you’ve got this!,Channel energy into tasks efficiently.,0.84
1229,"Just finished my homework, pretty regular day",neutral,nothing special;सामान्य,Got it — sounds like a steady day.,Maintain routines; maybe add a small fun activity.,0.9
1230,Had a great time with friends today!,happy,amazing;खुशी,Capture gratitude in a quick note; enjoy the moment.,Record or savor what made you happy.,0.94
1231,I can achieve my goals if I work hard,motivated,उत्साहित;energy,Love the energy — you’ve got this!,Maintain momentum and track achievements.,0.89
1232,Ready to tackle all my assignments,motivated,excited;drive,Love the energy — you’ve got this!,Channel energy into tasks efficiently.,0.76
1233,Everything feels meaningless and dark,depressed,tired;hopeless,I'm here for you — it sounds heavy.,Engage in one small enjoyable activity today.,0.77
1234,आज पढ़ाई और काम के लिए बहुत उत्साहित हूँ,motivated,goal;उत्साहित,"उत्साह बढ़िया है, बढ़िया काम करो!",Channel energy into tasks efficiently.,0.84
1235,आज पढ़ाई और काम के लिए बहुत उत्साहित हूँ,motivated,enthusiastic;drive,Chunk tasks into milestones; reward yourself after completion.,Maintain momentum and track achievements.,0.94
1236,I don't see the point in anything anymore,depressed,hopeless;बेकार,"मैं सुन रही हूँ, यह कठिन समय है।",Engage in one small enjoyable activity today.,0.81
1237,Working on routine assignments,neutral,ordinary;routine,Got it — sounds like a steady day.,Reflect on small achievements.,0.89
1238,आज पढ़ाई और काम के लिए बहुत उत्साहित हूँ,motivated,energy;उत्साहित,Love the energy — you’ve got this!,Channel energy into tasks efficiently.,0.9
1239,I can't stop worrying about the interview tomorrow,anxious,heart racing;परेशान,"परेशानी समझ में आती है, मैं सुन सकती हूँ।",Talk to a friend or mentor to reduce anxiety.,0.78
1240,I have too many assignments and can't finish on time,stressed,overload;tasks,That sounds overwhelming — let's break it down into smaller steps.,List top 3 priorities; take a 5-min mindful break; hydrate.,0.91
1241,"Attending usual lectures, nothing new",neutral,nothing special;सामान्य,Got it — sounds like a steady day.,Maintain routines; maybe add a small fun activity.,0.91
1242,My heart is racing thinking about the exam,anxious,ghabraahat;heart racing,"परेशानी समझ में आती है, मैं सुन सकती हूँ।",Practice deep breathing or mindfulness exercises.,0.83
1243,Feeling anxious about meeting new people,anxious,nervous;ghabraahat,Try grounding techniques or a 5-min break to calm down.,Talk to a friend or mentor to reduce anxiety.,0.75
